FrBixente,"RT @alex_mat_cat: La Bible j’ai un ami en France ils lui ont donné une scolarité gratuite ; des assurances maladie, accident du travail et…",2019-09-30 08:32:48,0
StartupInfoFr,RT @financeinnov: #insurtechbiz La semaine de l'innovation dans l'assurance par @financeinnov est lancée!  @Nico_D_Ferreira nous en parle.…,2019-09-30 08:32:49,0
cynokette,"RT @Chr_Cobblepot: Le 15 juin dernier, l'association CLAMA, en partenariat avec l'ASPAS, organisait un après-midi pédagogique à la Biblioth…",2019-09-30 08:33:03,0
User Name,Text,Date,RT Count
User Name,Text,Date,RT Count
_JLXXI_,@KineMeuh @Ymuha_N7z29ba2t Crédit Mutuel Bavarois ?,2019-10-02 07:41:25,0
User Name,Text,Date,RT Count
User Name,Text,Date,RT Count
portail_ebtp,Risque cyber : SMABTP sécurise les chantiers https://t.co/EnFlK0mpdz,2019-10-02 07:45:55,0
Pol_Alidhan,"#hdpros #Lubrizol #Rouen
à Paris aussi aussi ils ont leur ""Seveso"" au cœur de la ville : Ils l'appelle Elysée ! 

N… https://t.co/P5U61ayfrN",2019-10-02 07:46:47,0
SSP_Toulouse,RT @FeelUtoo: Trophée régional de la Silver Économie.Merci aux membres FeelU  de leur énergie et aux partenaires régionaux et de l’économie…,2019-10-02 07:48:07,0
Denis_Baupin,RT @LaTribuneBdx: @TiersLieux @AureliePiet @welovelittle @PragmaFuelCells @Matmut @treefrogtx Le Prix « Environnement » est remis par Cendr…,2019-10-02 07:48:33,0
cbultel_agence,RT @LaTribuneBdx: @TiersLieux @AureliePiet @welovelittle @PragmaFuelCells @Matmut @treefrogtx Le Prix « Environnement » est remis par Cendr…,2019-10-02 07:50:11,0
AnneRussac,RT @dominique_mahe: L’application #StayingAlive se déploie en #DeuxSevres ➡ un dispositif #citoyen que nous soutenons pour mettre en lien s…,2019-10-02 07:50:35,0
DouguiSophian,"RT @nozoeze_: il a sorti des projets lourds, mais vas y qd je vois son niveau je pense que sa carrière me laissera tjs un gout d'inachevée…",2019-10-02 07:52:15,0
Balio_Services,"RT @allianzfrance: [Lancement] @Balio_Services « Chez Allianz France, nous souhaitons que l’innovation puisse être l’affaire de tous » @jac…",2019-10-02 07:53:17,0
Balio_Services,"RT @alex_dolleans: Décollage de #Balio aujourd’hui 1er octobre 2019...
#intrapreunariat #Allianz 
“Vers l’infini et au delà“ 🚀 https://t.co…",2019-10-02 07:53:41,0
